n,m,batch_size,solved,max_err,mean_err,gpu_time,cpu_time
10,1,1000,1000,3.8767211663071066e-10,1.017379846633606e-12,0.0021665096282958984,0.1085977554321289
10,1,1100,1100,6.698428478557616e-10,1.1591513184233795e-12,0.00046944618225097656,0.11853218078613281
10,1,1200,1200,3.580566954042297e-10,9.997882630699518e-13,0.00045943260192871094,0.12884092330932617
10,1,1300,1300,1.5115801943466067e-09,1.4148676860731945e-12,0.0004596710205078125,0.13962388038635254
10,1,1400,1400,1.0638814273988828e-09,1.7357989107401966e-12,0.00046539306640625,0.14983844757080078
10,1,1500,1500,1.6242367451013706e-09,2.0896858757036033e-12,0.0004725456237792969,0.16020750999450684
10,1,1600,1600,4.858833335674717e-10,1.1974661953448595e-12,0.0004763603210449219,0.17116403579711914
10,1,1700,1700,4.138883014093153e-09,1.680385850751379e-12,0.00047516822814941406,0.18281221389770508
10,1,1800,1800,1.0286953511240426e-09,1.170881006376181e-12,0.00047397613525390625,0.19350147247314453
10,1,1900,1900,1.2510099622886628e-09,1.1715992129722104e-12,0.00047850608825683594,0.20443964004516602
10,1,2000,2000,8.33779267850332e-10,1.765808844727179e-12,0.00048828125,0.21434330940246582
10,1,2100,2100,1.5596697267028503e-09,1.7963135205375289e-12,0.0005238056182861328,0.22551536560058594
10,1,2200,2200,6.207585556694539e-10,1.2508163893502474e-12,0.0005881786346435547,0.23513317108154297
10,1,2300,2300,1.418811734765768e-09,1.498552382584221e-12,0.0007004737854003906,0.2528386116027832
10,1,2400,2400,1.3809735577297033e-09,1.1919669176929582e-12,0.0007092952728271484,0.25636911392211914
10,1,2500,2500,1.2813838878855677e-09,1.3940725645042582e-12,0.0007152557373046875,0.26874303817749023
10,1,2600,2600,9.703171599539928e-10,1.3745087880639719e-12,0.0007123947143554688,0.27806687355041504
10,1,2700,2700,9.90382886811858e-10,1.5840404017144534e-12,0.0007114410400390625,0.2886984348297119
10,1,2800,2800,3.026286776730558e-09,2.1710360354898434e-12,0.0007092952728271484,0.30001020431518555
10,1,2900,2900,4.221334393150755e-10,1.091495358684234e-12,0.0007157325744628906,0.30991291999816895
10,1,3000,3000,1.3974386092741042e-09,1.6714100509776431e-12,0.0007154941558837891,0.32105374336242676
10,1,3100,3100,1.3980070434627123e-09,1.5101412691957e-12,0.0007216930389404297,0.33118629455566406
10,1,3200,3200,6.874785185573273e-10,1.3302233785251947e-12,0.0007176399230957031,0.3424863815307617
10,1,3300,3300,7.935341272968799e-10,1.3285840664876638e-12,0.0007159709930419922,0.35138511657714844
10,1,3400,3400,1.3189378478273284e-09,1.430625173659672e-12,0.0007224082946777344,0.36347508430480957
10,1,3500,3500,8.139124929584796e-10,1.1347273702645478e-12,0.0007276535034179688,0.3732280731201172
10,1,3600,3600,1.7126353668572847e-09,1.7622598866866441e-12,0.0007395744323730469,0.38208889961242676
10,1,3700,3700,1.66517111210851e-09,1.6243335944717903e-12,0.0007593631744384766,0.39496612548828125
10,1,3800,3800,1.5548948795185424e-09,1.982823842750463e-12,0.0007798671722412109,0.40584754943847656
10,1,3900,3900,1.5279510989785194e-09,1.607983426902656e-12,0.000797271728515625,0.41857147216796875
10,1,4000,4000,1.7721504264045507e-09,1.9894066610617456e-12,0.0008089542388916016,0.4295010566711426
10,1,4100,4100,7.624549880347331e-10,1.1996672602496133e-12,0.0009205341339111328,0.4388771057128906
10,1,4200,4200,1.2155396689195186e-09,1.5414766676219978e-12,0.0010535717010498047,0.4488239288330078
10,1,4300,4300,2.8463773560361005e-09,1.5790942716877282e-12,0.0011096000671386719,0.4631991386413574
10,1,4400,4400,2.219167072325945e-09,1.6210089261104966e-12,0.0011882781982421875,0.4735894203186035
10,1,4500,4500,1.1014833489753073e-09,1.397816685423714e-12,0.0011889934539794922,0.4815235137939453
10,1,4600,4600,1.348809064438683e-09,1.7362525159479461e-12,0.0011854171752929688,0.4923095703125
10,1,4700,4700,1.6585772755206563e-09,1.4630721819680083e-12,0.001199960708618164,0.5029351711273193
10,1,4800,4800,9.380300980410539e-10,1.43363942230698e-12,0.0011928081512451172,0.5150699615478516
10,1,4900,4900,1.4654943925052066e-09,1.759258028933202e-12,0.0012006759643554688,0.5228924751281738
10,1,5000,5000,1.2416876415954903e-09,1.4966807535377427e-12,0.0013074874877929688,0.5338563919067383
10,1,5100,5100,1.6261765267699957e-09,1.2560181961947817e-12,0.0012011528015136719,0.5458133220672607
10,1,5200,5200,8.046754373935983e-10,1.2720574626377133e-12,0.0016891956329345703,0.5532958507537842
10,1,5300,5300,1.8060291040455922e-09,1.644078216346558e-12,0.001207590103149414,0.5672526359558105
10,1,5400,5400,1.6543708625249565e-09,1.3518487599331467e-12,0.0012176036834716797,0.5770025253295898
10,1,5500,5500,3.085233402089216e-09,1.4360633609458583e-12,0.0014278888702392578,0.585951566696167
10,1,5600,5600,1.5583552226416941e-09,1.177591787479433e-12,0.0014302730560302734,0.5966999530792236
10,1,5700,5700,1.591729414940346e-09,1.5640247300556252e-12,0.0014808177947998047,0.6063446998596191
10,1,5800,5800,1.7187176126753911e-09,1.295955093977571e-12,0.0014405250549316406,0.6181352138519287
10,1,5900,5900,1.5373302630905528e-09,1.2551987900057801e-12,0.0014286041259765625,0.6310732364654541
